Barcode,Cluster
492154_1,Immune_cells_1
864250_1,Neurons_2
78132_1,Cnidocytes_1
284749_1,Cnidocytes_2
645488_1,Neurons_2
26662_1,Progenitors_1
36793_1,Cnidocytes_1
429698_1,Cnidocytes_1
450111_1,Neurons_1_2
166655_1,Neurons_1_2
239463_1,Neurons_2
714433_1,Cnidocytes_1
326004_1,Neurons_2
18124_1,Cnidocytes_3
460452_1,Muscle_cells
398782_1,Immune_cells_2
660214_1,Cnidocytes_3
51405_1,Digestive_filaments
498648_1,Cnidocytes_2
842031_1,Digestive_filaments
179562_1,Cnidocytes_1
193155_1,Cnidocytes_1
511677_1,Immune_cells_1
720234_1,Progenitors_1
518572_1,Progenitors_1
352360_1,Neurons_2
489627_1,Cnidocytes_2
219922_1,Neurons_1_2
658945_1,Neurons_1_2
257668_1,Progenitors_1
755363_1,Neurons_1_2
839859_1,Cnidocytes_1
46986_1,Cnidocytes_3
801202_1,Cnidocytes_1
615357_1,Neurons_1_2
742406_1,Digestive_filaments
697297_1,Digestive_filaments
828526_1,Digestive_filaments
707473_1,Digestive_filaments
264884_1,Digestive_filaments
170068_1,Cnidocytes_3
4058_1,Digestive_filaments
743709_1,Cnidocytes_1
265186_1,Digestive_filaments
638509_1,Cnidocytes_1
411167_1,Muscle_cells
442935_1,Immune_cells_1
212962_1,Cnidocytes_2
843374_1,Calicoblasts
735108_1,Immune_cells_1
791852_1,Cnidocytes_1
240825_1,Muscle_cells
339061_1,Progenitors_1
229370_1,Gland_cells
537202_1,Immune_cells_1
384818_1,Cnidocytes_3
481661_1,Cnidocytes_1
566194_1,Neurons_2
432557_1,Cnidocytes_3
446484_1,Cnidocytes_2
47824_1,Neurons_2
103490_1,Cnidocytes_3
491085_1,Progenitors_1
543924_1,Cnidocytes_3
711527_1,Cnidocytes_3
212464_1,Neurons_2
802115_1,Immune_cells_1
691897_1,Cnidocytes_1
25402_1,Digestive_filaments
787463_1,Digestive_filaments
514691_1,Cnidocytes_2
690074_1,Gastrodermis_2
89202_1,Digestive_filaments
800806_1,Alga_hosting_cells_2
180276_1,Cnidocytes_1
624428_1,Neurons_1_3
54233_1,Digestive_filaments
804561_1,Progenitors_1
840853_1,Progenitors_1
18434_1,Immune_cells_1
174381_1,Neurons_2
446273_1,Immune_cells_1
633695_1,Immune_cells_1
392975_1,Cnidocytes_3
266510_1,Neurons_1_2
22593_1,Progenitors_1
164797_1,Progenitors_1
8076_1,Digestive_filaments
116668_1,Neurons_2
230571_1,Alga_hosting_cells_1
510781_1,Neurons_1_2
753215_1,Cnidocytes_1
547686_1,Cnidocytes_1
442234_1,Neurons_2
388260_1,Cnidocytes_1
161300_1,Progenitors_1
386725_1,Cnidocytes_3
603012_1,Neurons_2
244181_1,Neurons_1_2
630292_1,Neurons_2
191729_1,Neurons_1_2
866724_1,Neurons_2
148523_1,Immune_cells_1
646532_1,Digestive_filaments
592698_1,Cnidocytes_2
492379_1,Progenitors_1
515626_1,Progenitors_1
563612_1,Progenitors_1
610331_1,Gland_cells
431606_1,Immune_cells_1
636024_1,Digestive_filaments
582775_1,Immune_cells_1
355641_1,D.filaments_Alga_hosting_cells
163594_1,Neurons_2
480766_1,Digestive_filaments
29594_1,Immune_cells_1
308111_1,Cnidocytes_2
374400_1,Cnidocytes_1
161011_1,Immune_cells_2
569767_1,Cnidocytes_1
206471_1,Cnidocytes_3
823182_1,Digestive_filaments
332577_1,Neurons_1_2
689840_1,Cnidocytes_3
704074_1,Progenitors_2
505982_1,Cnidocytes_1
320909_1,Cnidocytes_1
157887_1,Digestive_filaments
610028_1,Cnidocytes_1
881303_1,Neurons_1_2
308175_1,Immune_cells_1
862409_1,Progenitors_2
515006_1,Cnidocytes_2
263250_1,Digestive_filaments
467475_1,Neurons_1_2
376211_1,Cnidocytes_1
637025_1,Cnidocytes_2
246424_1,Neurons_1_3
727489_1,Cnidocytes_3
171668_1,Neurons_1_2
88370_1,Digestive_filaments
750001_1,Cnidocytes_3
525677_1,Neurons_1_2
622342_1,Immune_cells_1
308043_1,Progenitors_1
661562_1,Immune_cells_1
626626_1,Neurons_2
433274_1,Immune_cells_1
599400_1,Immune_cells_2
46988_1,D.filaments_Alga_hosting_cells
165164_1,Cnidocytes_1
403505_1,Progenitors_2
690484_1,Digestive_filaments
80796_1,Cnidocytes_2
233791_1,Progenitors_1
201736_1,D.filaments_Alga_hosting_cells
475028_1,Progenitors_1
362666_1,Immune_cells_1
754419_1,Immune_cells_1
631381_1,Progenitors_1
457694_1,Neurons_2
724308_1,Cnidocytes_3
884651_1,Progenitors_1
571526_1,Neurons_1_3
71072_1,Cnidocytes_3
144145_1,Digestive_filaments
313122_1,Alga_hosting_cells_1
687113_1,Neurons_1_2
278237_1,Progenitors_1
616368_1,Immune_cells_1
621204_1,Immune_cells_1
214314_1,Immune_cells_1
848928_1,Progenitors_1
168553_1,Cnidocytes_1
849895_1,Neurons_1_2
432815_1,Progenitors_1
183447_1,Neurons_1_2
482164_1,Immune_cells_2
672368_1,Cnidocytes_2
579845_1,Neurons_2
565364_1,Cnidocytes_2
809041_1,Cnidocytes_1
677769_1,Immune_cells_1
373869_1,Progenitors_1
284206_1,Neurons_1_2
272597_1,Progenitors_1
107561_1,Cnidocytes_1
570976_1,Progenitors_1
475289_1,Neurons_1_2
269153_1,Cnidocytes_1
418750_1,Neurons_2
72106_1,Cnidocytes_1
364033_1,Digestive_filaments
406171_1,Neurons_2
111087_1,Cnidocytes_1
793295_1,Immune_cells_1
523959_1,Cnidocytes_2
857682_1,D.filaments_Alga_hosting_cells
423394_1,Cnidocytes_1
123939_1,Neurons_1_2
418958_1,Neurons_2
299208_1,Progenitors_1
270098_1,Gastrodermis_3
680501_1,Digestive_filaments
23244_1,Progenitors_2
176566_1,Cnidocytes_2
277045_1,Neurons_2
858181_1,Cnidocytes_1
156511_1,Progenitors_1
310385_1,Neurons_2
