Barcode,tSNE_1,tSNE_2
70447_1,-6.63935892474724,-0.907642495695159
391774_1,1.98389987507351,-43.4828987437113
776367_1,-6.62279494174506,-0.891584897423579
397491_1,-34.0759120148215,-22.7950339750768
125949_1,-6.68449567569429,-0.965168971743749
22783_1,-11.7779565978083,-45.1566300647698
554333_1,-6.64410171263361,-0.898308891220966
428963_1,5.98367354129976,-36.8560344842963
412112_1,-33.965614802536,-24.8020712925703
646995_1,-17.7976440876513,-34.2108372278494
265008_1,-6.59044847655819,-0.879134857879194
760552_1,-46.9039754504269,-7.37951524673798
767130_1,-5.21370452138917,46.9742614761293
343137_1,-6.62880572700855,-0.900959295160307
535841_1,-33.7280051717841,-22.6161904220724
625579_1,-7.84632498908447,-43.1193211109876
769058_1,-17.6852308518584,-28.3947497700496
798272_1,-18.7522510106284,-41.0387568723397
580419_1,-28.2529192956907,24.0913067323502
598201_1,-40.0857267202103,15.4056358831967
788821_1,-12.2063273339945,-44.4952673960155
163595_1,-36.7735272181583,11.1365002314777
118808_1,-19.9011518173811,-39.4666630251094
622200_1,-6.89223053846262,-42.7035371961673
17931_1,-2.25624646261831,-41.6490271851983
77009_1,-24.090361740345,3.41760851349344
430898_1,-3.66060579354035,19.7951134805176
816576_1,-7.21909867116137,47.4051936110473
54301_1,-4.66808805033654,-42.6187536085127
239072_1,0.0285398913116701,-42.5610981050636
446158_1,-33.5343631509223,-21.0587697894452
310823_1,-33.0969222908912,-21.1298706046673
284824_1,-35.9463274047554,0.52063040493353
40930_1,-48.2390397554576,-6.43256665096374
311528_1,5.86383251556076,-41.2511242341613
93748_1,-6.63498185122053,-0.891109817023896
457120_1,-33.303988650203,-22.9243614240485
783296_1,-7.51847836459233,46.7694688866967
850094_1,-0.406484000841932,-42.2707213629018
848731_1,-0.182326079410311,-27.8151482939658
235674_1,30.8221120997344,25.4676838407914
568741_1,-36.4185222244599,-20.9152617808346
460971_1,-7.67156879155248,47.2563663439403
437220_1,-13.5963082309003,-44.2135176498467
541504_1,-32.910314471874,-21.1941332987936
551616_1,-6.6765901428449,-0.950560579711906
413813_1,-10.7736756739167,-44.8635171431288
675594_1,-13.5061004518709,-44.9196026047351
631695_1,-2.29608539567678,-42.338697437012
577518_1,-32.2865910635234,-21.3853367850974
791143_1,-18.7965613001599,-38.829692499663
697384_1,-35.8921816181945,-20.8845015899881
329113_1,22.0685493378797,21.9201889339845
413253_1,-4.08666324725083,-42.1789388622114
804714_1,-41.9069970616904,11.6158000007864
81890_1,-17.2676883653443,-42.6083847871859
683982_1,-5.06874849395577,-42.3055768078523
770608_1,-31.4130757233481,-21.6770802617517
549729_1,-14.2915433806736,-43.8406678158839
143534_1,-31.8871704875771,-22.0077612196592
340035_1,2.87909010919832,-42.5911427999027
44181_1,-7.94343712094677,-42.5805663019164
119957_1,-1.93769394331667,-20.7946010013101
25171_1,-36.3273738416725,11.7327364706333
814923_1,-39.8475551474438,11.8186509741835
358720_1,-16.9961276917372,-8.05288667541855
367254_1,-5.15478541663395,46.9415422705301
617453_1,-0.888668153632136,-9.83261451401634
28012_1,-5.55044810877071,46.8145067001765
448093_1,29.6175853643599,21.943820787722
391135_1,-18.7634308285537,-40.5225444077089
561635_1,-33.2947748366704,-20.9882455122524
508161_1,-33.2791412687069,-23.8068000435626
576823_1,-14.4728677421736,-5.88026937983384
695617_1,-17.1777513299174,-42.4362732035864
138119_1,4.6284512072344,-42.158510780801
609725_1,2.30577991618223,-42.6761430861155
576957_1,-7.85035121416731,45.8750814452514
410335_1,-5.39002643198907,-41.8987756653976
201335_1,-9.0558148478586,45.8539168705103
111781_1,-14.2905054768379,-21.3729154635846
837793_1,-36.1269996819561,-20.794348192407
460715_1,-16.2422803540098,-21.1157715513552
857273_1,-7.53268762344222,46.392151161804
377239_1,-0.742116235604095,-41.8501231094648
520110_1,-31.0014504123254,-22.0002437170349
763039_1,-14.5275854625105,-44.8569289066486
755486_1,-12.1048311578556,-43.9629169952336
218499_1,-34.4157390948364,-24.1216624157261
883385_1,-19.3518341913315,-35.8358755151319
814986_1,-49.2568742264346,-6.33172296684865
862938_1,-35.0121904580154,-22.2318400078341
315917_1,-23.6243340816052,0.634385687644455
247274_1,-16.364834932632,-12.0503646289972
586031_1,5.28161312282354,-41.4794996267466
247276_1,-8.14850015258576,45.753607385077
20827_1,-2.36238189648417,-41.7902334980771
513410_1,-7.98720793938241,-43.5094538664487
834234_1,-37.6075036876362,11.280396930797
375304_1,-16.809929007708,-41.4747150295328
57804_1,-19.7715751148869,-29.374021361436
14604_1,-2.34545120813092,-21.9991548301814
63121_1,10.9066415398,-33.8513756860739
277165_1,-18.2048958569496,-8.54545780782677
351265_1,-5.8561439069429,46.8437480096233
764920_1,-23.3782927874155,7.13237841800526
214715_1,-32.238162178539,-20.2676850457065
182416_1,-7.83257488305478,47.1093863909039
44382_1,-13.4536821207441,-21.4585609187704
10574_1,-7.06645812554279,46.1290115506845
223779_1,-33.7215775553493,-21.2520972871965
680695_1,-5.8683496066762,45.4097930895565
836579_1,-8.06260450845951,-42.960438566318
707073_1,-32.4917500526658,-22.3776052138605
201882_1,-32.0889585867222,-21.4177587763322
722729_1,-11.3186270206406,34.7542722699579
440593_1,30.4500475149212,25.1027594830322
650654_1,1.08560545233425,-41.8925921560365
859359_1,-35.6782492295185,-21.0233829394706
4021_1,-18.6566080401301,-39.1002437697159
254961_1,-32.0093914284422,-21.5237429401206
804315_1,-9.19972365712007,45.6728891317123
804137_1,-15.4335037106078,-40.9855527368075
686831_1,-17.4890708806885,1.94582548957314
452401_1,-6.72560709236878,46.5427680910378
766391_1,-35.5152851377519,-20.8465847521644
107978_1,-31.3529210450821,-21.3150056983692
458120_1,-3.73429454772294,-23.5778970565343
524619_1,-34.2522329558651,-22.5855357425486
22445_1,-8.47575783709848,46.9474412152034
149892_1,35.2215834941622,31.2580496583671
680357_1,-17.5799856734474,1.85594410187965
254681_1,-36.396720862506,-21.1607751830282
283066_1,15.2953865331108,-36.1421957161011
47949_1,16.672910355649,-36.4100577971645
669790_1,-13.330757654634,-6.50969674791564
839137_1,-39.2543484345628,12.2877196927469
40835_1,-9.65227122117362,-43.4267811634613
