Barcode,UMAP_1,UMAP_2
70447_1,3.04635214805603,-4.35578632354736
391774_1,3.0390841960907,14.67493724823
776367_1,3.1159839630127,-4.41847610473633
397491_1,-14.3813514709473,3.30058908462524
125949_1,3.0457592010498,-4.34484243392944
22783_1,-0.319910705089569,16.0899677276611
554333_1,3.11597537994385,-4.42071533203125
428963_1,2.80973529815674,11.7565793991089
412112_1,-14.4003114700317,2.61821150779724
646995_1,-1.77530288696289,13.5087375640869
265008_1,3.12533760070801,-4.42001295089722
760552_1,-14.0032520294189,-2.31583523750305
767130_1,6.30260515213013,-12.8768243789673
343137_1,3.1363799571991,-4.43698453903198
535841_1,-14.319432258606,3.08594632148743
625579_1,0.709900975227356,16.3432102203369
769058_1,-2.26042580604553,11.0836000442505
798272_1,-1.62921452522278,14.4474296569824
580419_1,8.66830730438232,-0.791264653205872
598201_1,-11.7524604797363,-7.51528215408325
788821_1,-0.442252367734909,16.072826385498
163595_1,-11.5126905441284,-8.36768817901611
118808_1,-1.83277189731598,13.9910364151001
622200_1,1.04970061779022,16.2004852294922
17931_1,2.27257657051086,15.7402353286743
77009_1,11.6080293655396,-5.47281455993652
430898_1,6.74417018890381,6.80011081695557
816576_1,6.30851459503174,-12.9798803329468
54301_1,1.55135214328766,16.1080150604248
239072_1,2.80049920082092,15.1027450561523
446158_1,-14.0314321517944,3.34385967254639
310823_1,-14.3614044189453,3.45565056800842
284824_1,12.6153430938721,-4.91310930252075
40930_1,-14.1451978683472,-2.70234537124634
311528_1,3.28294801712036,13.219518661499
93748_1,3.16790103912354,-4.4383716583252
457120_1,-14.3246536254883,2.94009923934937
783296_1,6.49590826034546,-12.7751207351685
850094_1,2.62234568595886,15.3534727096558
848731_1,-9.03279304504395,-11.6154718399048
235674_1,6.43894863128662,-5.94164514541626
568741_1,-14.4277858734131,3.82952737808228
460971_1,6.29036140441895,-12.9653482437134
437220_1,-0.746829390525818,15.8225708007812
541504_1,-14.006067276001,3.32485246658325
551616_1,3.03227734565735,-4.33901691436768
413813_1,-0.0404002480208874,16.1930885314941
675594_1,-0.729197859764099,15.6415643692017
631695_1,2.25137424468994,15.7994871139526
577518_1,-14.0715885162354,3.1886260509491
791143_1,-1.91316103935242,14.1981744766235
697384_1,-14.4490098953247,3.70400238037109
329113_1,5.34952688217163,-7.52014636993408
413253_1,1.75313138961792,16.0622882843018
804714_1,-11.6320190429688,-8.8780632019043
81890_1,-1.30846154689789,14.9617319107056
683982_1,1.33359503746033,16.2200450897217
770608_1,-13.7483606338501,3.0946683883667
549729_1,-0.818854033946991,15.6479692459106
